version,uploadedAt,filename,archiveSize,sizeDelta,mapSize,variants,attributes,extraDependencies,stringTable,screenshots,howToPlay
0.1,2014-08-11T12:45:04.000Z,Project_Bang_01.SC2Map,11104338,0,32x32,2,0,Swarm(Camp)|9,f515d8225509fc7073f742640eda92ecf92616155b59bf6a4e760faec38165b0,0,1
0.2,2014-08-11T12:45:54.000Z,Project_Bang_01.SC2Map,8183966,-2920372,32x32,2,0,Swarm(Camp)|9,f515d8225509fc7073f742640eda92ecf92616155b59bf6a4e760faec38165b0,0,1
0.3,2014-08-11T14:20:33.000Z,Project_Bang_01.SC2Map,8183989,23,32x32,2,0,Swarm(Camp)|9,f515d8225509fc7073f742640eda92ecf92616155b59bf6a4e760faec38165b0,0,1
0.4,2014-08-12T06:27:05.000Z,Project_Bang_01.SC2Map,8641676,457687,32x32,2,0,Swarm(Camp)|9,6eb3e7ef0bec26b8b917787adccd722e996118d39293c9ae48cacba868ba4d5b,0,1
0.5,2014-08-12T08:16:34.000Z,Project_Bang_01.SC2Map,8641740,64,32x32,2,0,Swarm(Camp)|9,d546ae6754d5dfd2da24af3912a5da528d77ec8ed5e2d04a88f4bdbaa7c3fd89,0,1
0.6,2014-08-12T17:46:33.000Z,Project_Bang_01.SC2Map,8641915,175,32x32,2,0,Swarm(Camp)|9,cc3f0ceb448847cd9e9354e22bc290b588f41ce5c99b523ceebb0aa526c3015f,0,1
0.7,2014-08-12T19:03:22.000Z,Project_Bang_01.SC2Map,8642022,107,32x32,2,0,Swarm(Camp)|9,cc3f0ceb448847cd9e9354e22bc290b588f41ce5c99b523ceebb0aa526c3015f,0,1
0.8,2014-08-13T06:49:52.000Z,Project_Bang_02.SC2Map,8671519,29497,32x32,2,0,Swarm(Camp)|9,1d063ce179c864ca73113a6a4f8397a4fd57ee996ce69f44354a27f2a62eb0d6,0,1
0.9,2014-08-13T07:24:00.000Z,Project_Bang_02.SC2Map,8671295,-224,32x32,2,0,Swarm(Camp)|9,1d063ce179c864ca73113a6a4f8397a4fd57ee996ce69f44354a27f2a62eb0d6,0,1
0.10,2014-08-13T07:50:06.000Z,Project_Bang_02.SC2Map,8671501,206,32x32,2,0,Swarm(Camp)|9,1d063ce179c864ca73113a6a4f8397a4fd57ee996ce69f44354a27f2a62eb0d6,0,1
0.11,2014-08-13T13:59:54.000Z,Project_Bang_02.SC2Map,8671498,-3,32x32,2,0,Swarm(Camp)|9,1d063ce179c864ca73113a6a4f8397a4fd57ee996ce69f44354a27f2a62eb0d6,0,1
0.12,2014-08-14T13:53:14.000Z,Project_Bang_02.SC2Map,16222893,7551395,32x32,2,0,Swarm(Camp)|9,d5d88a5272c5c43ce1ed1fe613fceaf240f5d03d74f52ea8499ffd0cdfa061c0,0,1
0.13,2014-08-14T13:58:08.000Z,Project_Bang_02.SC2Map,16223334,441,32x32,2,0,Swarm(Camp)|9,82fc4633447f0c3c1f64edc4337899be0d39c70fc450eeba8bbb384d8e2abd4d,0,1
0.14,2014-08-14T14:56:45.000Z,Project_Bang_02.SC2Map,16223004,-330,32x32,2,0,Swarm(Camp)|9,82fc4633447f0c3c1f64edc4337899be0d39c70fc450eeba8bbb384d8e2abd4d,0,1
0.15,2014-08-14T15:23:50.000Z,Project_Bang_02.SC2Map,16223268,264,32x32,2,0,Swarm(Camp)|9,82fc4633447f0c3c1f64edc4337899be0d39c70fc450eeba8bbb384d8e2abd4d,0,1
0.16,2014-08-14T15:42:59.000Z,Project_Bang_02.SC2Map,16223210,-58,32x32,2,0,Swarm(Camp)|9,82fc4633447f0c3c1f64edc4337899be0d39c70fc450eeba8bbb384d8e2abd4d,0,1
0.17,2014-08-16T08:45:46.000Z,Project_Bang_02.SC2Map,16230580,7370,32x32,2,0,Swarm(Camp)|9,5cd32a53456ce6bb4217c1795dd05f1e67c2d8ad18155674ca274b3acc69c7ee,0,1
0.18,2014-08-16T08:50:35.000Z,Project_Bang_02.SC2Map,16230589,9,32x32,2,0,Swarm(Camp)|9,9a9b507592b0d0c0f19b26103a639604ac4cb979c8afb11adf6b48a6134802ac,0,1
